[2018-09-11 11:21:24,728] 0 [main]  INFO ContextLoader initWebApplicationContext.285- Root WebApplicationContext: initialization started
 [2018-09-11 11:21:24,818] 90 [main]  DEBUG StandardServletEnvironment addLast.109- Adding [servletConfigInitParams] PropertySource with lowest search precedence
 [2018-09-11 11:21:24,819] 91 [main]  DEBUG StandardServletEnvironment addLast.109- Adding [servletContextInitParams] PropertySource with lowest search precedence
 [2018-09-11 11:21:24,822] 94 [main]  DEBUG StandardServletEnvironment addLast.109- Adding [jndiProperties] PropertySource with lowest search precedence
 [2018-09-11 11:21:24,823] 95 [main]  DEBUG StandardServletEnvironment addLast.109- Adding [systemProperties] PropertySource with lowest search precedence
 [2018-09-11 11:21:24,824] 96 [main]  DEBUG StandardServletEnvironment addLast.109- Adding [systemEnvironment] PropertySource with lowest search precedence
 [2018-09-11 11:21:24,825] 97 [main]  DEBUG StandardServletEnvironment <init>.126- Initialized StandardServletEnvironment with PropertySources [servletConfigInitParams,servletContextInitParams,jndiProperties,systemProperties,systemEnvironment]
 [2018-09-11 11:21:24,840] 112 [main]  DEBUG StandardServletEnvironment replace.174- Replacing [servletContextInitParams] PropertySource with [servletContextInitParams]
 [2018-09-11 11:21:24,843] 115 [main]  INFO XmlWebApplicationContext prepareRefresh.510- Refreshing Root WebApplicationContext: startup date [Tue Sep 11 11:21:24 IST 2018]; root of context hierarchy
 [2018-09-11 11:21:24,881] 153 [main]  DEBUG StandardEnvironment addLast.109- Adding [systemProperties] PropertySource with lowest search precedence
 [2018-09-11 11:21:24,881] 153 [main]  DEBUG StandardEnvironment addLast.109- Adding [systemEnvironment] PropertySource with lowest search precedence
 [2018-09-11 11:21:24,882] 154 [main]  DEBUG StandardEnvironment <init>.126- Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment]
 [2018-09-11 11:21:24,890] 162 [main]  INFO XmlBeanDefinitionReader loadBeanDefinitions.317- Loading XML bean definitions from ServletContext resource [/WEB-INF/spring-security.xml]
 [2018-09-11 11:21:24,894] 166 [main]  DEBUG DefaultDocumentLoader loadDocument.73- Using JAXP provider [com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderFactoryImpl]
 [2018-09-11 11:21:24,929] 201 [main]  DEBUG PluggableSchemaResolver getSchemaMappings.141- Loading schema mappings from [META-INF/spring.schemas]
